authors,title,year,publisher,cover
"Bemis, J. Barrada, A.",Pokonać lęki i fobie. Jak radzić sobie z niepokojem i napadami paniki,2015,"GWP, Gdańsk",915b06cd408590dcfdd300a4116f.jpg
"Bourne, E.J.",Lęk i fobia. Praktyczny podręcznik dla osób z zaburzeniami lękowymi,2011,"WUJ, Kraków",lek_i_fobia_praktyczny_podrecznik_dla_osob_z_zaburzeniami_lekowymi_IMAGE1_309381.jpg
"Bryńska, A. ","Zaburzenie obsesyjno-kompulsyjne. Rozpoznawanie, etiologia, terapia poznawczo-behawioralna",2007,"WUJ, Kraków",zaburzenia-obsesyjno-kompulsyjne-b-iext35765748.jpg
"Briers, S. ","Pokonaj depresję, stres i lęk, czyli terapia poznawczo-behawioralna w praktyce",2011,"Samo Sedno, Warszawa",samo-sedno-pokonaj-depresje-stres-i-lek-b-iext43252147.jpg
"Bruce M. Hyman, Cherry Pedrick ",Pokonać OCD czyli zaburzenia obsesyjno-kompulsyjne. Praktyczny przewodnik,2013,"Harmonia, Gdańsk",pokonac-ocd-czyli-zaburzenia-obsesyjno-kompulsyjne-praktyczny-przewodnik-b-iext41771777.jpg
"Burns, D. ",Radość życia czyli jak zwyciężyć depresję. Terapia zaburzeń nastroju,2010,"Zysk i S-ka, Poznań",big_978-83-7506-566-4.jpg
"Clark, D.A., Reinecke, M.A. ",Psychoterapia poznawcza w teorii i praktyce,2005,"GWP, Gdańsk",psychoterapia-poznawcza-w-teorii-i-praktyce-b-iext44719230.jpg
"David, A. ","Człowiek, ktróry nie mógł przestać. Opowieści o nerwicach natręctw",2016,"WUJ, Kraków",czlowiek-ktory-nie-mogl-przestac-opowiesci-o-nerwicach-natrectw-b-iext46098718.jpg
"Ellis, A. ",Jak zadbać o własne szczęście,2008,"Zielona Sowa, Kraków",352x500.jpg
"Fennell, M.J.V. ",Przezwyciężanie niskiego poczucia własnej wartości. Przewodnik samopomocy w oparciu o techniki poznawczo-behawioralne,2008,"Alliance Press, Gdynia",przezwyciezanie-niskiego-poczucia-wlasnej-wartosi_4652.jpg
